area,ca,curso,modalidade,N,idd,idd_faixa,ano
22,Privada com fins lucrativos,48977,Educação Presencial,8,1.313273778,4,2018
22,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil,48990,Educação Presencial,29,-0.384360837,3,2018
1,Privada com fins lucrativos,48997,Educação Presencial,48,0.316982923,3,2018
2,Privada com fins lucrativos,49019,Educação Presencial,77,-0.699223534,3,2018
2,Privada com fins lucrativos,49031,Educação Presencial,67,0.763198481,4,2018
22,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Mercantil ou Comercial,49045,Educação Presencial,23,-1.378607683,2,2018
2,Privada com fins lucrativos,49050,Educação Presencial,51,-0.596414733,3,2018
18,Privada sem fins lucrativos,49052,Educação Presencial,72,0.746952409,4,2018
2,Privada com fins lucrativos,49056,Educação Presencial,204,0.078830581,3,2018
1,Privada sem fins lucrativos,49065,Educação Presencial,7,1.989722666,4,2018
22,Privada com fins lucrativos,49086,Educação Presencial,37,0.328128764,3,2018
22,Privada com fins lucrativos,49092,Educação Presencial,16,-0.824651261,3,2018
804,Privada com fins lucrativos,49111,Educação Presencial,18,-0.576988238,3,2018
803,Privada com fins lucrativos,49112,Educação Presencial,47,0.350802031,3,2018
804,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil,49115,Educação Presencial,8,0.653508257,3,2018
1,Privada sem fins lucrativos,49120,Educação Presencial,8,0.536196969,3,2018
1,Privada com fins lucrativos,49133,Educação Presencial,103,0.117834751,3,2018
67,Privada sem fins lucrativos,49210,Educação Presencial,3,1.542823249,3,2018
1,Privada com fins lucrativos,49218,Educação Presencial,8,2.694182,4,2018
2,Privada com fins lucrativos,49229,Educação Presencial,49,-0.703456633,3,2018
804,Privada sem fins lucrativos,49233,Educação Presencial,22,-1.031023541,2,2018
22,Privada com fins lucrativos,49255,Educação Presencial,9,-3.275464763,2,2018
1,Privada com fins lucrativos,49259,Educação Presencial,59,0.455579027,3,2018
2,Privada sem fins lucrativos,49267,Educação Presencial,46,-0.250802386,3,2018
1,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Fundação,49269,Educação Presencial,19,0.409128316,3,2018
84,Privada com fins lucrativos,49282,Educação Presencial,9,-0.483031101,3,2018
84,Privada com fins lucrativos,49284,Educação Presencial,1,,SC,2018
87,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil,49286,Educação Presencial,1,,SC,2018
18,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,49306,Educação Presencial,6,,SC,2018
1,Privada sem fins lucrativos,49313,Educação Presencial,32,2.494843566,4,2018
13,Privada sem fins lucrativos,49315,Educação Presencial,36,2.156886165,4,2018
18,Privada com fins lucrativos,49326,Educação Presencial,5,-3.630466083,1,2018
81,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,49383,Educação Presencial,33,-1.258326763,2,2018
2,Privada com fins lucrativos,49417,Educação Presencial,128,-0.195226078,3,2018
1,Pessoa Jurídica de Direito Público - Federal,49464,Educação Presencial,156,-0.190597027,3,2018
13,Pessoa Jurídica de Direito Público - Federal,49468,Educação Presencial,40,-1.1846022,2,2018
2,Pessoa Jurídica de Direito Público - Federal,49470,Educação Presencial,97,-0.793431115,3,2018
18,Privada sem fins lucrativos,49498,Educação Presencial,29,0.532858774,4,2018
67,Pessoa Jurídica de Direito Público - Municipal,49502,Educação Presencial,2,1.914846408,4,2018
18,Privada sem fins lucrativos,49505,Educação Presencial,14,3.386935416,5,2018
2,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,49540,Educação Presencial,128,0.305437848,3,2018
1,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,49548,Educação Presencial,13,1.085189132,4,2018
18,Privada sem fins lucrativos,49550,Educação Presencial,51,0.173654279,3,2018
2,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,49589,Educação Presencial,33,-0.597243517,3,2018
2,Privada com fins lucrativos,49636,Educação Presencial,289,-0.127149444,3,2018
804,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Fundação,49677,Educação Presencial,14,0.154464099,3,2018
2,Privada com fins lucrativos,49690,Educação Presencial,99,0.067220073,3,2018
2,Privada com fins lucrativos,49725,Educação Presencial,73,-0.718788535,3,2018
22,Pessoa Jurídica de Direito Público - Municipal,49746,Educação Presencial,16,-4.383516616,1,2018
2,Privada sem fins lucrativos,49772,Educação Presencial,63,0.081033141,3,2018
101,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,49775,Educação Presencial,2,,SC,2018
1,Privada com fins lucrativos,49780,Educação Presencial,4,-0.73687265,3,2018
2,Privada com fins lucrativos,49820,Educação Presencial,117,0.185236705,3,2018
1,Privada sem fins lucrativos,49847,Educação Presencial,21,1.346294076,4,2018
1,Privada com fins lucrativos,49855,Educação Presencial,27,-0.28256772,3,2018
803,Privada com fins lucrativos,49926,Educação Presencial,22,0.629521072,3,2018
804,Privada com fins lucrativos,49930,Educação Presencial,30,0.050533287,3,2018
1,Privada com fins lucrativos,49956,Educação Presencial,36,-0.506227016,3,2018
103,Pessoa Jurídica de Direito Público - Federal,49960,Educação Presencial,81,-0.012049361,3,2018
803,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,49991,Educação Presencial,30,-2.144782792,2,2018
804,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,49996,Educação Presencial,2,-8.125951051,1,2018
22,Privada com fins lucrativos,49997,Educação Presencial,55,-0.396017731,3,2018
22,Privada com fins lucrativos,50001,Educação Presencial,33,-0.364300889,3,2018
22,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Fundação,50006,Educação Presencial,13,1.131475589,4,2018
2,Privada sem fins lucrativos,50045,Educação Presencial,47,2.137306614,5,2018
804,Privada sem fins lucrativos,50048,Educação Presencial,3,-5.182307638,1,2018
26,Privada com fins lucrativos,50060,Educação Presencial,2,0.199347428,3,2018
2,Privada sem fins lucrativos,50063,Educação Presencial,65,-0.478457644,3,2018
101,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,50077,Educação Presencial,22,-0.448206551,3,2018
803,Privada com fins lucrativos,50107,Educação Presencial,11,5.064945305,5,2018
804,Privada com fins lucrativos,50109,Educação Presencial,12,0.307696146,3,2018
1,Privada com fins lucrativos,50110,Educação Presencial,70,-0.260166151,3,2018
13,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,50158,Educação Presencial,19,1.091666437,3,2018
18,Privada com fins lucrativos,50163,Educação Presencial,127,-0.308481797,3,2018
26,Privada sem fins lucrativos,50164,Educação Presencial,0,,SC,2018
803,Privada sem fins lucrativos,50178,Educação Presencial,1,,SC,2018
2,Privada com fins lucrativos,50179,Educação Presencial,12,-0.737978834,3,2018
26,Privada sem fins lucrativos,50183,Educação Presencial,12,-1.246198114,2,2018
67,Pessoa Jurídica de Direito Público - Estadual,50198,Educação Presencial,22,-2.934628173,1,2018
804,Privada sem fins lucrativos,50200,Educação Presencial,0,,SC,2018
38,Pessoa Jurídica de Direito Público - Estadual,50201,Educação Presencial,14,0.739614964,3,2018
29,Pessoa Jurídica de Direito Público - Estadual,50203,Educação Presencial,11,-3.273823772,1,2018
1,Privada com fins lucrativos,50210,Educação Presencial,30,1.105355319,4,2018
804,Privada com fins lucrativos,50223,Educação Presencial,14,-0.645994033,3,2018
22,Privada com fins lucrativos,50225,Educação Presencial,26,2.066759367,4,2018
29,Privada sem fins lucrativos,50227,Educação Presencial,26,0.621305322,3,2018
804,Privada sem fins lucrativos,50240,Educação Presencial,28,0.235970214,3,2018
804,Privada com fins lucrativos,50273,Educação Presencial,41,-1.705202709,2,2018
803,Privada com fins lucrativos,50274,Educação Presencial,45,-2.146400431,2,2018
26,Privada com fins lucrativos,50306,Educação Presencial,1,,SC,2018
804,Privada com fins lucrativos,50311,Educação Presencial,71,-0.016302373,3,2018
22,Privada com fins lucrativos,50312,Educação Presencial,2,-4.809274154,1,2018
804,Pessoa Jurídica de Direito Público - Municipal,50384,Educação Presencial,16,1.642362485,3,2018
2,Privada com fins lucrativos,50387,Educação Presencial,12,-3.5806367,1,2018
1,Privada sem fins lucrativos,50394,Educação Presencial,17,-1.343215235,3,2018
67,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil,50435,Educação Presencial,25,-1.753743439,2,2018
804,Privada sem fins lucrativos,50500,Educação Presencial,122,-0.951034923,2,2018
18,Pessoa Jurídica de Direito Público - Municipal,50538,Educação Presencial,20,0.276584348,3,2018
1,Privada com fins lucrativos,50570,Educação Presencial,8,0.215514092,3,2018
1,Privada com fins lucrativos,50574,Educação Presencial,17,2.475843346,4,2018
1,Privada com fins lucrativos,50576,Educação Presencial,27,1.050121854,4,2018
2,Privada com fins lucrativos,50578,Educação Presencial,23,0.675277528,4,2018
18,Privada com fins lucrativos,50584,Educação Presencial,17,2.229294725,5,2018
2,Privada com fins lucrativos,50586,Educação Presencial,46,1.018060428,4,2018
2,Privada com fins lucrativos,50594,Educação Presencial,35,-0.492644635,3,2018
18,Privada com fins lucrativos,50596,Educação Presencial,24,0.22888761,3,2018
18,Privada com fins lucrativos,50611,Educação Presencial,16,2.323214876,5,2018
2,Privada com fins lucrativos,50648,Educação Presencial,70,-0.163729188,3,2018
803,Pessoa Jurídica de Direito Público - Federal,50684,Educação Presencial,28,-0.123211898,3,2018
1,Privada sem fins lucrativos,50716,Educação Presencial,10,-0.726032301,3,2018
1,Privada com fins lucrativos,50725,Educação Presencial,15,-0.978672683,3,2018
804,Privada com fins lucrativos,50767,Educação Presencial,10,-0.359990477,3,2018
803,Privada com fins lucrativos,50773,Educação Presencial,5,0.032302481,3,2018
804,Privada com fins lucrativos,50774,Educação Presencial,15,-4.840109692,1,2018
803,Privada com fins lucrativos,50779,Educação Presencial,15,-0.551754066,3,2018
804,Privada com fins lucrativos,50780,Educação Presencial,10,0.443834723,3,2018
22,Privada com fins lucrativos,50781,Educação Presencial,55,-0.064801049,3,2018
22,Privada com fins lucrativos,50783,Educação Presencial,74,-0.184356099,3,2018
22,Privada com fins lucrativos,50785,Educação Presencial,12,4.398804248,5,2018
22,Privada com fins lucrativos,50787,Educação Presencial,12,-1.268710959,2,2018
22,Privada sem fins lucrativos,50789,Educação Presencial,29,-1.609058389,2,2018
803,Pessoa Jurídica de Direito Público - Estadual,50852,Educação Presencial,29,-0.820108704,3,2018
804,Pessoa Jurídica de Direito Público - Estadual,50853,Educação Presencial,27,-1.083650463,2,2018
26,Privada com fins lucrativos,50872,Educação Presencial,12,-1.318945947,2,2018
83,Privada com fins lucrativos,50876,Educação Presencial,22,0.220468435,3,2018
1,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil,50901,Educação Presencial,88,0.375661883,3,2018
1,Pessoa Jurídica de Direito Público - Estadual,50902,Educação Presencial,26,0.641431595,3,2018
22,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil,50905,Educação Presencial,118,-0.029296193,3,2018
803,Pessoa Jurídica de Direito Público - Municipal,50913,Educação Presencial,0,,SC,2018
29,Pessoa Jurídica de Direito Público - Municipal,50918,Educação Presencial,0,,SC,2018
1,Pessoa Jurídica de Direito Público - Municipal,50922,Educação Presencial,13,-0.670231664,3,2018
1,Privada sem fins lucrativos,50953,Educação Presencial,29,0.57041745,3,2018
2,Privada com fins lucrativos,50977,Educação Presencial,76,-0.458407657,3,2018
1,Privada sem fins lucrativos,50983,Educação Presencial,7,0.603665184,3,2018
85,Privada sem fins lucrativos,50996,Educação Presencial,0,,SC,2018
2,Privada sem fins lucrativos,51018,Educação Presencial,7,-1.970522528,2,2018
1,Privada com fins lucrativos,51048,Educação Presencial,51,0.47562077,3,2018
1,Privada com fins lucrativos,51063,Educação Presencial,12,-0.232252046,3,2018
1,Privada sem fins lucrativos,51083,Educação Presencial,24,1.339494329,4,2018
1,Privada com fins lucrativos,51111,Educação Presencial,9,-2.852809951,2,2018
2,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Fundação,51125,Educação Presencial,48,1.476017995,4,2018
22,Privada sem fins lucrativos,51129,Educação Presencial,30,-0.735807032,3,2018
22,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil,51142,Educação Presencial,6,1.008050417,3,2018
1,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil,51149,Educação Presencial,18,-0.941446975,3,2018
1,Privada com fins lucrativos,51153,Educação Presencial,12,0.321389343,3,2018
22,Privada com fins lucrativos,51158,Educação Presencial,17,2.288262605,4,2018
1,Privada com fins lucrativos,51167,Educação Presencial,20,-1.290551486,3,2018
1,Privada sem fins lucrativos,51178,Educação Presencial,20,-1.046045331,3,2018
22,Privada sem fins lucrativos,51184,Educação Presencial,8,-1.365430113,2,2018
1,Privada sem fins lucrativos,51212,Educação Presencial,79,-0.905037337,3,2018
22,Privada com fins lucrativos,51220,Educação Presencial,11,1.175416917,4,2018
1,Privada com fins lucrativos,51222,Educação Presencial,24,0.312580127,3,2018
1,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil,51251,Educação Presencial,13,0.297195025,3,2018
1,Privada com fins lucrativos,51260,Educação Presencial,30,0.495225522,3,2018
1,Privada com fins lucrativos,51276,Educação Presencial,18,-1.796839656,2,2018
22,Privada com fins lucrativos,51277,Educação Presencial,24,-1.082343265,3,2018
2,Privada sem fins lucrativos,51293,Educação Presencial,30,1.976274992,4,2018
2,Privada sem fins lucrativos,51299,Educação Presencial,75,-0.175459616,3,2018
1,Privada com fins lucrativos,51314,Educação Presencial,78,0.838885218,3,2018
22,Privada com fins lucrativos,51334,Educação Presencial,10,-0.980834695,3,2018
2,Privada com fins lucrativos,51373,Educação Presencial,14,0.660573046,4,2018
22,Privada com fins lucrativos,51377,Educação Presencial,9,-0.15786109,3,2018
18,Privada com fins lucrativos,51382,Educação Presencial,23,0.951635525,4,2018
1,Privada com fins lucrativos,51388,Educação Presencial,16,2.457039749,4,2018
22,Privada com fins lucrativos,51391,Educação Presencial,29,1.152169924,4,2018
22,Privada com fins lucrativos,51405,Educação Presencial,6,1.844533397,4,2018
1,Privada sem fins lucrativos,51442,Educação Presencial,24,0.191051839,3,2018
26,Privada sem fins lucrativos,51534,Educação Presencial,1,,SC,2018
26,Privada sem fins lucrativos,51539,Educação Presencial,43,-2.310728731,2,2018
26,Privada sem fins lucrativos,51540,Educação Presencial,5,-5.611106896,1,2018
1,Privada com fins lucrativos,51546,Educação Presencial,2,-6.13952253,1,2018
1,Privada com fins lucrativos,51549,Educação Presencial,11,-1.06751493,3,2018
1,Privada sem fins lucrativos,51611,Educação Presencial,30,-0.754751182,3,2018
22,Privada sem fins lucrativos,51615,Educação Presencial,31,-0.19639317,3,2018
13,Pessoa Jurídica de Direito Público - Estadual,51618,Educação Presencial,20,0.191038982,3,2018
22,Privada com fins lucrativos,51640,Educação Presencial,3,2.025218574,4,2018
2,Privada com fins lucrativos,51662,Educação Presencial,78,-0.163092484,3,2018
2,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,51664,Educação Presencial,64,1.415560084,4,2018
1,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Fundação,51666,Educação Presencial,12,3.84396918,5,2018
2,Privada com fins lucrativos,51670,Educação Presencial,32,0.48027336,3,2018
2,Privada com fins lucrativos,51672,Educação Presencial,49,-0.13662105,3,2018
2,Privada sem fins lucrativos,51674,Educação Presencial,31,0.780383542,4,2018
2,Privada com fins lucrativos,51676,Educação Presencial,51,0.85625856,4,2018
2,Privada com fins lucrativos,51678,Educação Presencial,42,1.161571217,4,2018
2,Privada sem fins lucrativos,51681,Educação Presencial,85,1.339384848,4,2018
2,Privada com fins lucrativos,51687,Educação Presencial,9,,SC,2018
1,Privada sem fins lucrativos,51694,Educação Presencial,42,-0.958990824,3,2018
1,Privada com fins lucrativos,51719,Educação Presencial,12,-1.212041602,3,2018
22,Privada com fins lucrativos,51721,Educação Presencial,10,-0.524578317,3,2018
29,Privada com fins lucrativos,51761,Educação Presencial,12,-1.884282445,2,2018
22,Privada com fins lucrativos,51770,Educação Presencial,19,2.567891158,4,2018
2,Privada com fins lucrativos,51829,Educação Presencial,113,0.028365851,3,2018
1,Privada sem fins lucrativos,51839,Educação Presencial,6,4.345079383,5,2018
101,Privada sem fins lucrativos,51878,Educação Presencial,5,-0.243548596,3,2018
105,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil,51895,Educação Presencial,2,-7.353596939,1,2018
1,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Fundação,51918,Educação Presencial,10,0.790392084,3,2018
1,Privada com fins lucrativos,51922,Educação Presencial,75,0.934090286,3,2018
1,Privada com fins lucrativos,51942,Educação Presencial,22,2.204536712,4,2018
803,Privada com fins lucrativos,51947,Educação Presencial,10,0.290957643,3,2018
26,Privada sem fins lucrativos,51987,Educação Presencial,15,1.333487304,4,2018
26,Privada com fins lucrativos,51988,Educação Presencial,11,-7.773539981,1,2018
1,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil,52013,Educação Presencial,34,-0.464778799,3,2018
1,Privada com fins lucrativos,52021,Educação Presencial,64,-0.750901868,3,2018
1,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,52040,Educação Presencial,29,0.243687535,3,2018
2,Privada sem fins lucrativos,52071,Educação Presencial,97,0.454171107,3,2018
18,Privada sem fins lucrativos,52073,Educação Presencial,49,0.492523016,4,2018
18,Pessoa Jurídica de Direito Público - Federal,52125,Educação Presencial,40,0.114324821,3,2018
2,Pessoa Jurídica de Direito Público - Federal,52128,Educação Presencial,50,-0.762185495,3,2018
1,Pessoa Jurídica de Direito Público - Federal,52130,Educação Presencial,24,-0.076565864,3,2018
1,Pessoa Jurídica de Direito Público - Federal,52136,Educação Presencial,22,3.432448285,5,2018
18,Pessoa Jurídica de Direito Público - Federal,52141,Educação Presencial,9,-4.698050938,1,2018
18,Privada sem fins lucrativos,52185,Educação Presencial,18,-0.755392505,3,2018
804,Privada sem fins lucrativos,52192,Educação Presencial,133,-0.649324566,3,2018
2,Pessoa Jurídica de Direito Público - Estadual,52238,Educação Presencial,91,-1.04604235,2,2018
1,Privada sem fins lucrativos,52246,Educação Presencial,9,3.248876355,4,2018
2,Pessoa Jurídica de Direito Público - Federal,52258,Educação Presencial,101,-1.676858855,2,2018
1,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,52352,Educação Presencial,27,0.373312172,3,2018
104,Pessoa Jurídica de Direito Público - Federal,52437,Educação Presencial,64,1.469317838,4,2018
22,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil,52445,Educação Presencial,15,1.542893995,4,2018
2,Privada sem fins lucrativos,52458,Educação Presencial,40,-0.447527575,3,2018
1,Privada sem fins lucrativos,52461,Educação Presencial,19,1.215116715,4,2018
101,Privada sem fins lucrativos,52551,Educação Presencial,4,,SC,2018
1,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil,52753,Educação Presencial,23,-0.058735196,3,2018
1,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,52779,Educação Presencial,17,-1.515512423,2,2018
1,Pessoa Jurídica de Direito Público - Estadual,52785,Educação Presencial,41,0.360560595,3,2018
1,Privada com fins lucrativos,52829,Educação Presencial,25,0.412334591,3,2018
18,Pessoa Jurídica de Direito Público - Federal,52852,Educação Presencial,39,-0.476271597,3,2018
2,Privada com fins lucrativos,52863,Educação Presencial,40,-0.452482672,3,2018
22,Privada com fins lucrativos,52876,Educação Presencial,9,-2.032261853,2,2018
1,Privada sem fins lucrativos,52901,Educação Presencial,19,-0.896817867,3,2018
2,Privada com fins lucrativos,52904,Educação Presencial,95,-0.231514125,3,2018
2,Privada com fins lucrativos,52906,Educação Presencial,664,-0.004062458,3,2018
1,Privada com fins lucrativos,52908,Educação Presencial,46,-0.177098044,3,2018
2,Privada com fins lucrativos,52910,Educação Presencial,123,0.055365756,3,2018
2,Privada com fins lucrativos,52912,Educação Presencial,24,1.772265394,4,2018
2,Privada com fins lucrativos,52914,Educação Presencial,107,-0.130484634,3,2018
2,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil,52917,Educação Presencial,27,-0.389003857,3,2018
2,Privada sem fins lucrativos,52919,Educação Presencial,52,0.204234478,3,2018
2,Privada com fins lucrativos,52921,Educação Presencial,61,-0.33135041,3,2018
2,Privada com fins lucrativos,52929,Educação Presencial,31,-0.44599166,3,2018
804,Privada com fins lucrativos,52957,Educação Presencial,13,-0.565478905,3,2018
803,Privada com fins lucrativos,52958,Educação Presencial,14,-0.422559279,3,2018
1,Privada com fins lucrativos,52975,Educação Presencial,71,-0.119955892,3,2018
1,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Mercantil ou Comercial,52987,Educação Presencial,41,0.820221411,3,2018
2,Privada com fins lucrativos,53027,Educação Presencial,38,0.01597094,3,2018
2,Privada com fins lucrativos,53037,Educação Presencial,39,0.832832409,4,2018
2,Privada com fins lucrativos,53045,Educação Presencial,55,-0.801413654,3,2018
22,Privada com fins lucrativos,53156,Educação Presencial,0,,SC,2018
1,Privada com fins lucrativos,53190,Educação Presencial,15,0.433121854,3,2018
1,Privada com fins lucrativos,53205,Educação Presencial,15,3.079687934,4,2018
1,Privada com fins lucrativos,53290,Educação Presencial,23,0.482765066,3,2018
804,Privada com fins lucrativos,53295,Educação Presencial,0,,SC,2018
1,Privada com fins lucrativos,53296,Educação Presencial,3,0.627855007,3,2018
2,Privada com fins lucrativos,53335,Educação Presencial,142,-0.404363566,3,2018
2,Privada com fins lucrativos,53340,Educação Presencial,111,-0.044412811,3,2018
2,Privada sem fins lucrativos,53344,Educação Presencial,22,4.473573361,5,2018
2,Privada com fins lucrativos,53347,Educação Presencial,98,-0.406645038,3,2018
2,Privada sem fins lucrativos,53349,Educação Presencial,34,0.834309808,4,2018
1,Privada com fins lucrativos,53352,Educação Presencial,22,4.069194903,5,2018
2,Privada com fins lucrativos,53353,Educação Presencial,125,-0.095529562,3,2018
18,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,53367,Educação Presencial,82,0.118414465,3,2018
18,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,53370,Educação Presencial,39,0.313463919,3,2018
1,Privada sem fins lucrativos,53374,Educação Presencial,39,-0.00338119,3,2018
2,Privada com fins lucrativos,53382,Educação Presencial,107,-0.147495981,3,2018
101,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,53411,Educação Presencial,42,0.534305678,3,2018
2,Privada sem fins lucrativos,53424,Educação Presencial,81,0.840800464,4,2018
1,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil,53463,Educação Presencial,15,-0.279112691,3,2018
1,Privada com fins lucrativos,53486,Educação Presencial,8,1.474742044,4,2018
804,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil,53490,Educação Presencial,0,,SC,2018
1,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil,53493,Educação Presencial,97,0.318152061,3,2018
2,Privada sem fins lucrativos,53511,Educação Presencial,44,-0.021044515,3,2018
1,Pessoa Jurídica de Direito Público - Federal,53522,Educação Presencial,98,0.622403074,3,2018
2,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil,53531,Educação Presencial,144,-0.313402806,3,2018
1,Privada com fins lucrativos,53554,Educação Presencial,13,-2.000107021,2,2018
2,Privada com fins lucrativos,53562,Educação Presencial,99,-0.00572286,3,2018
18,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,53574,Educação Presencial,12,3.42299481,5,2018
804,Privada com fins lucrativos,53582,Educação Presencial,10,4.431714092,5,2018
1,Privada com fins lucrativos,53589,Educação Presencial,6,4.586186221,5,2018
22,Pessoa Jurídica de Direito Público - Estadual,53596,Educação Presencial,35,0.305207624,3,2018
18,Privada com fins lucrativos,53628,Educação Presencial,10,0.866312062,4,2018
2,Privada com fins lucrativos,53635,Educação Presencial,250,0.166253563,3,2018
2,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil,53646,Educação Presencial,11,-5.611338351,1,2018
22,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil,53892,Educação Presencial,21,0.565710852,3,2018
1,Privada sem fins lucrativos,53894,Educação Presencial,25,-1.446161116,3,2018
22,Privada com fins lucrativos,53896,Educação Presencial,0,,SC,2018
1,Privada com fins lucrativos,53900,Educação Presencial,22,-1.289455156,3,2018
22,Privada com fins lucrativos,53910,Educação Presencial,30,-0.528037792,3,2018
2,Privada com fins lucrativos,54042,Educação Presencial,91,0.513250593,3,2018
803,Pessoa Jurídica de Direito Público - Estadual,54075,Educação Presencial,11,0.232345925,3,2018
2,Privada com fins lucrativos,54080,Educação Presencial,10,-1.481539714,2,2018
2,Privada sem fins lucrativos,54082,Educação Presencial,18,2.653990559,5,2018
1,Privada com fins lucrativos,54112,Educação Presencial,58,0.319869238,3,2018
26,Pessoa Jurídica de Direito Público - Estadual,54162,Educação Presencial,17,-2.622639278,2,2018
26,Pessoa Jurídica de Direito Público - Estadual,54163,Educação Presencial,25,-1.356373551,2,2018
2,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil,54164,Educação Presencial,42,0.555404021,3,2018
1,Privada com fins lucrativos,54228,Educação Presencial,30,1.413001307,4,2018
1,Privada com fins lucrativos,54262,Educação Presencial,13,1.052556264,4,2018
22,Privada com fins lucrativos,54266,Educação Presencial,20,0.199999836,3,2018
804,Privada com fins lucrativos,54270,Educação Presencial,5,3.825928076,4,2018
1,Privada com fins lucrativos,54296,Educação Presencial,21,0.646957655,3,2018
2,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil,54304,Educação Presencial,105,-0.073152697,3,2018
101,Privada sem fins lucrativos,54306,Educação Presencial,0,,SC,2018
38,Privada com fins lucrativos,54308,Educação Presencial,11,2.114482681,4,2018
1,Privada com fins lucrativos,54310,Educação Presencial,6,-1.26478645,3,2018
38,Privada sem fins lucrativos,54330,Educação Presencial,14,-0.520123315,3,2018
1,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Fundação,54340,Educação Presencial,8,-0.546228862,3,2018
101,Privada sem fins lucrativos,54352,Educação Presencial,5,,SC,2018
18,Privada sem fins lucrativos,54437,Educação Presencial,43,-0.326910867,3,2018
2,Privada sem fins lucrativos,54441,Educação Presencial,79,-0.40544852,3,2018
2,Privada com fins lucrativos,54446,Educação Presencial,150,0.530043953,3,2018
22,Privada com fins lucrativos,54458,Educação Presencial,0,,SC,2018
101,Privada sem fins lucrativos,54460,Educação Presencial,9,-4.148822932,2,2018
101,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,54549,Educação Presencial,1,,SC,2018
1,Privada sem fins lucrativos,54552,Educação Presencial,26,0.401163871,3,2018
1,Privada com fins lucrativos,54602,Educação Presencial,203,0.119833713,3,2018
29,Privada com fins lucrativos,54605,Educação Presencial,47,0.816822575,3,2018
803,Privada com fins lucrativos,54614,Educação Presencial,34,-0.344647067,3,2018
18,Privada com fins lucrativos,54620,Educação Presencial,71,-0.095885411,3,2018
2,Privada sem fins lucrativos,54622,Educação Presencial,166,0.336856838,3,2018
18,Privada com fins lucrativos,54624,Educação Presencial,11,0.394515875,3,2018
